Number: 1; Pokemon: bulbasaur; Give: 1SpA; Photo https://pokemongolife.ru/p/Bulbasaur.png;
Number: 270; Pokemon: ludicolo; Give: 3SpD; Photo https://pokemongolife.ru/p/Ludicolo.png;
Number: 271; Pokemon: seedot; Give: 1Def; Photo https://pokemongolife.ru/p/Seedot.png;
Number: 272; Pokemon: nuzleaf; Give: 2Atk; Photo https://pokemongolife.ru/p/Nuzleaf.png;
Number: 273; Pokemon: shiftry; Give: 3Atk; Photo https://pokemongolife.ru/p/Shiftry.png;
Number: 274; Pokemon: taillow; Give: 1Spe; Photo https://pokemongolife.ru/p/Taillow.png;
Number: 275; Pokemon: swellow; Give: 2Spe; Photo https://pokemongolife.ru/p/Swellow.png;
Number: 276; Pokemon: wingull; Give: 1Spe; Photo https://pokemongolife.ru/p/Wingull.png;
Number: 277; Pokemon: pelliper; Give: 2Def; Photo https://pokemongolife.ru/p/Pelliper.png;
Number: 278; Pokemon: ralts; Give: 1SpA; Photo https://pokemongolife.ru/p/Ralts.png;
Number: 279; Pokemon: kirlia; Give: 2SpA; Photo https://pokemongolife.ru/p/Kirlia.png;
Number: 280; Pokemon: gardevoir; Give: 3SpA; Photo https://pokemongolife.ru/p/Gardevoir.png;
Number: 281; Pokemon: surskit; Give: 1Spe; Photo https://pokemongolife.ru/p/Surskit.png;
Number: 282; Pokemon: masquerain; Give: 1SpA, 1SpD; Photo https://pokemongolife.ru/p/Masquerain.png;
Number: 283; Pokemon: shroomish; Give: 1HP; Photo https://pokemongolife.ru/p/Shroomish.png;
Number: 284; Pokemon: breeloom; Give: 2Atk; Photo https://pokemongolife.ru/p/Breeloom.png;
Number: 285; Pokemon: slakoth; Give: 1HP; Photo https://pokemongolife.ru/p/Slakoth.png;
Number: 286; Pokemon: vigoroth; Give: 2Spe; Photo https://pokemongolife.ru/p/Vigoroth.png;
Number: 287; Pokemon: slaking; Give: 3HP; Photo https://pokemongolife.ru/p/Slaking.png;
Number: 288; Pokemon: nincada; Give: 1Def; Photo https://pokemongolife.ru/p/Nincada.png;
Number: 289; Pokemon: ninjask; Give: 2Spe; Photo https://pokemongolife.ru/p/Ninjask.png;
Number: 290; Pokemon: shedinja; Give: 2HP; Photo https://pokemongolife.ru/p/Shedinja.png;
Number: 291; Pokemon: whismur; Give: 1HP; Photo https://pokemongolife.ru/p/Whismur.png;
Number: 292; Pokemon: loudred; Give: 2HP; Photo https://pokemongolife.ru/p/Loudred.png;
Number: 293; Pokemon: exploud; Give: 3HP; Photo https://pokemongolife.ru/p/Exploud.png;
Number: 294; Pokemon: makuhita; Give: 1HP; Photo https://pokemongolife.ru/p/Makuhita.png;
Number: 295; Pokemon: hariyama; Give: 2HP; Photo https://pokemongolife.ru/p/Hariyama.png;
Number: 296; Pokemon: azurill; Give: 1HP; Photo https://pokemongolife.ru/p/Azurill.png;
Number: 297; Pokemon: nosepass; Give: 1Def; Photo https://pokemongolife.ru/p/Nosepass.png;
Number: 298; Pokemon: skitty; Give: 1Spe; Photo https://pokemongolife.ru/p/Skitty.png;
Number: 299; Pokemon: delcatty; Give: 1HP, 1Spe; Photo https://pokemongolife.ru/p/Delcatty.png;
Number: 300; Pokemon: sableye; Give: 1Atk, 1Def; Photo https://pokemongolife.ru/p/Sableye.png;
Number: 301; Pokemon: mawile; Give: 1Def, 1Def; Photo https://pokemongolife.ru/p/Mawile.png;
Number: 302; Pokemon: aron; Give: 1Def; Photo https://pokemongolife.ru/p/Aron.png;
Number: 303; Pokemon: lairon; Give: 2Def; Photo https://pokemongolife.ru/p/Lairon.png;
Number: 304; Pokemon: aggron; Give: 3Def; Photo https://pokemongolife.ru/p/Aggron.png;
Number: 305; Pokemon: meditite; Give: 1Spe; Photo https://pokemongolife.ru/p/Meditite.png;
Number: 306; Pokemon: medicham; Give: 2Spe; Photo https://pokemongolife.ru/p/Medicham.png;
Number: 307; Pokemon: electrike; Give: 1Spe; Photo https://pokemongolife.ru/p/Electrike.png;
Number: 308; Pokemon: manectric; Give: 2Spe; Photo https://pokemongolife.ru/p/Manectric.png;
Number: 309; Pokemon: plusle; Give: 1Spe; Photo https://pokemongolife.ru/p/Plusle.png;
Number: 310; Pokemon: minun; Give: 1Spe; Photo https://pokemongolife.ru/p/Minun.png;
Number: 311; Pokemon: volbeat; Give: 1Spe; Photo https://pokemongolife.ru/p/Volbeat.png;
Number: 312; Pokemon: illumise; Give: 1Spe; Photo https://pokemongolife.ru/p/Illumise.png;
Number: 313; Pokemon: roselia; Give: 2SpA; Photo https://pokemongolife.ru/p/Roselia.png;
Number: 314; Pokemon: gulpin; Give: 1HP; Photo https://pokemongolife.ru/p/Gulpin.png;
Number: 315; Pokemon: swalot; Give: 2HP; Photo https://pokemongolife.ru/p/Swalot.png;
Number: 316; Pokemon: carvanha; Give: 1Atk; Photo https://pokemongolife.ru/p/Carvanha.png;
Number: 317; Pokemon: sharpedo; Give: 2Atk; Photo https://pokemongolife.ru/p/Sharpedo.png;
Number: 318; Pokemon: wailmer; Give: 1HP; Photo https://pokemongolife.ru/p/Wailmer.png;
Number: 319; Pokemon: wailord; Give: 2HP; Photo https://pokemongolife.ru/p/Wailord.png;
Number: 320; Pokemon: numel; Give: 1SpA; Photo https://pokemongolife.ru/p/Numel.png;
Number: 321; Pokemon: camerupt; Give: 1Atk, 1SpA; Photo https://pokemongolife.ru/p/Camerupt.png;
Number: 322; Pokemon: torkoal; Give: 2Def; Photo https://pokemongolife.ru/p/Torkoal.png;
Number: 323; Pokemon: spoink; Give: 1SpD; Photo https://pokemongolife.ru/p/Spoink.png;
Number: 324; Pokemon: grumpig; Give: 2SpD; Photo https://pokemongolife.ru/p/Grumpig.png;
Number: 325; Pokemon: spinda; Give: 1SpA; Photo https://pokemongolife.ru/p/Spinda.png;
Number: 326; Pokemon: trapinch; Give: 1Atk; Photo https://pokemongolife.ru/p/Trapinch.png;
Number: 327; Pokemon: vibrava; Give: 1Atk, 1Spe; Photo https://pokemongolife.ru/p/Vibrava.png;
Number: 328; Pokemon: flygon; Give: 1Atk, 2Spe; Photo https://pokemongolife.ru/p/Flygon.png;
Number: 329; Pokemon: cacnea; Give: 1SpA; Photo https://pokemongolife.ru/p/Cacnea.png;
Number: 330; Pokemon: cacturne; Give: 1Atk, 1SpA; Photo https://pokemongolife.ru/p/Cacturne.png;
Number: 331; Pokemon: swablu; Give: 1SpD; Photo https://pokemongolife.ru/p/Swablu.png;
Number: 332; Pokemon: altaria; Give: 2SpD; Photo https://pokemongolife.ru/p/Altaria.png;
Number: 333; Pokemon: zangoose; Give: 2Atk; Photo https://pokemongolife.ru/p/Zangoose.png;
Number: 334; Pokemon: seviper; Give: 1Atk, 1SpA; Photo https://pokemongolife.ru/p/Seviper.png;
Number: 335; Pokemon: lunatone; Give: 2SpD; Photo https://pokemongolife.ru/p/Lunatone.png;
Number: 336; Pokemon: solrock; Give: 2Atk; Photo https://pokemongolife.ru/p/Solrock.png;
Number: 337; Pokemon: barboach; Give: 1HP; Photo https://pokemongolife.ru/p/Barboach.png;
Number: 338; Pokemon: whiscash; Give: 2HP; Photo https://pokemongolife.ru/p/Whiscash.png;
Number: 339; Pokemon: corphish; Give: 1Atk; Photo https://pokemongolife.ru/p/Corphish.png;
Number: 340; Pokemon: crawdaunt; Give: 2Atk; Photo https://pokemongolife.ru/p/Crawdaunt.png;
Number: 341; Pokemon: baltoy; Give: 1SpD; Photo https://pokemongolife.ru/p/Baltoy.png;
Number: 342; Pokemon: claydol; Give: 2SpD; Photo https://pokemongolife.ru/p/Claydol.png;
Number: 343; Pokemon: lileep; Give: 1SpD; Photo https://pokemongolife.ru/p/Lileep.png;
Number: 344; Pokemon: cradily; Give: 2SpD; Photo https://pokemongolife.ru/p/Cradily.png;
Number: 345; Pokemon: anorith; Give: 1Atk; Photo https://pokemongolife.ru/p/Anorith.png;
Number: 346; Pokemon: armaldo; Give: 2Atk; Photo https://pokemongolife.ru/p/Armaldo.png;
Number: 347; Pokemon: feebas; Give: 1Spe; Photo https://pokemongolife.ru/p/Feebas.png;
Number: 348; Pokemon: milotic; Give: 2SpD; Photo https://pokemongolife.ru/p/Milotic.png;
Number: 349; Pokemon: castform; Give: 1HP; Photo https://pokemongolife.ru/p/Castform.png;
Number: 350; Pokemon: kecleon; Give: 1SpD; Photo https://pokemongolife.ru/p/Kecleon.png;
Number: 351; Pokemon: shuppet; Give: 1Atk; Photo https://pokemongolife.ru/p/Shuppet.png;
Number: 352; Pokemon: banette; Give: 2Atk; Photo https://pokemongolife.ru/p/Banette.png;
Number: 353; Pokemon: duskull; Give: 1SpD; Photo https://pokemongolife.ru/p/Duskull.png;
Number: 354; Pokemon: dusclops; Give: 1Def, 1SpD; Photo https://pokemongolife.ru/p/Dusclops.png;
Number: 355; Pokemon: tropius; Give: 2HP; Photo https://pokemongolife.ru/p/Tropius.png;
Number: 356; Pokemon: chimecho; Give: 1SpA, 1SpD; Photo https://pokemongolife.ru/p/Chimecho.png;
Number: 357; Pokemon: absol; Give: 2Atk; Photo https://pokemongolife.ru/p/Absol.png;
Number: 358; Pokemon: wynaut; Give: 1HP; Photo https://pokemongolife.ru/p/Wynaut.png;
Number: 359; Pokemon: snorunt; Give: 1HP; Photo https://pokemongolife.ru/p/Snorunt.png;
Number: 360; Pokemon: glalie; Give: 1HP; Photo https://pokemongolife.ru/p/Glalie.png;
Number: 361; Pokemon: spheal; Give: 1HP; Photo https://pokemongolife.ru/p/Spheal.png;
Number: 362; Pokemon: sealeo; Give: 2HP; Photo https://pokemongolife.ru/p/Sealeo.png;
Number: 363; Pokemon: walrein; Give: 3HP; Photo https://pokemongolife.ru/p/Walrein.png;
Number: 364; Pokemon: clamperl; Give: 1Def; Photo https://pokemongolife.ru/p/Clamperl.png;
Number: 365; Pokemon: huntail; Give: 1Atk, 1Def; Photo https://pokemongolife.ru/p/Huntail.png;
Number: 366; Pokemon: gorebyss; Give: 2SpD; Photo https://pokemongolife.ru/p/Gorebyss.png;
Number: 367; Pokemon: relicanth; Give: 1HP, 1Def; Photo https://pokemongolife.ru/p/Relicanth.png;
Number: 368; Pokemon: luvdisc; Give: 1Spe; Photo https://pokemongolife.ru/p/Luvdisc.png;
Number: 369; Pokemon: bagon; Give: 1Atk; Photo https://pokemongolife.ru/p/Bagon.png;
Number: 370; Pokemon: shelgon; Give: 2Def; Photo https://pokemongolife.ru/p/Shelgon.png;
Number: 371; Pokemon: salamence; Give: 3Atk; Photo https://pokemongolife.ru/p/Salamence.png;
Number: 372; Pokemon: beldum; Give: 1Def; Photo https://pokemongolife.ru/p/Beldum.png;
Number: 373; Pokemon: metang; Give: 2Def; Photo https://pokemongolife.ru/p/Metang.png;
Number: 374; Pokemon: metagross; Give: 3Def; Photo https://pokemongolife.ru/p/Metagross.png;
Number: 375; Pokemon: regirock; Give: 3Def; Photo https://pokemongolife.ru/p/Regirock.png;
Number: 376; Pokemon: regice; Give: 3SpD; Photo https://pokemongolife.ru/p/Regice.png;
Number: 377; Pokemon: registeel; Give: 2Def, 1SpD; Photo https://pokemongolife.ru/p/Registeel.png;
Number: 378; Pokemon: latias; Give: 3SpD; Photo https://pokemongolife.ru/p/Latias.png;
Number: 379; Pokemon: latios; Give: 3SpA; Photo https://pokemongolife.ru/p/Latios.png;
Number: 380; Pokemon: kyogre; Give: 3SpA; Photo https://pokemongolife.ru/p/Kyogre.png;
Number: 381; Pokemon: groudon; Give: 3Atk; Photo https://pokemongolife.ru/p/Groudon.png;
Number: 382; Pokemon: rayquaza; Give: 2Atk, 1SpA; Photo https://pokemongolife.ru/p/Rayquaza.png;
Number: 383; Pokemon: jirachi; Give: 3HP; Photo https://pokemongolife.ru/p/Jirachi.png;
Number: 384; Pokemon: deoxys; Give: 1Atk, 1SpAm 1Spe; Photo https://pokemongolife.ru/p/Deoxys.png;
Number: 385; Pokemon: turtwig; Give: 1Atk; Photo https://pokemongolife.ru/p/Turtwig.png;
Number: 386; Pokemon: grotle; Give: 1Atk, 1Def; Photo https://pokemongolife.ru/p/Grotle.png;
Number: 387; Pokemon: torterra; Give: 2Atk, 1Def; Photo https://pokemongolife.ru/p/Torterra.png;
Number: 388; Pokemon: chimchar; Give: 1Spe; Photo https://pokemongolife.ru/p/Chimchar.png;
Number: 389; Pokemon: monferno; Give: 1SpA, 1Spe; Photo https://pokemongolife.ru/p/Monferno.png;
Number: 390; Pokemon: infernape; Give: 1Atk, 1SpA, 1Spe; Photo https://pokemongolife.ru/p/Infernape.png;
Number: 391; Pokemon: piplup; Give: 1SpA; Photo https://pokemongolife.ru/p/Piplup.png;
Number: 392; Pokemon: prinlup; Give: 2SpA; Photo https://pokemongolife.ru/p/Prinlup.png;
Number: 393; Pokemon: empoleon; Give: 3SpA; Photo https://pokemongolife.ru/p/Empoleon.png;
Number: 394; Pokemon: starly; Give: 1Spe; Photo https://pokemongolife.ru/p/Starly.png;
Number: 395; Pokemon: staravia; Give: 2Spe; Photo https://pokemongolife.ru/p/Staravia.png;
Number: 396; Pokemon: staraptor; Give: 3Atk; Photo https://pokemongolife.ru/p/Staraptor.png;
Number: 397; Pokemon: bidoof; Give: 1HP; Photo https://pokemongolife.ru/p/Bidoof.png;
Number: 398; Pokemon: bibarel; Give: 2Atk; Photo https://pokemongolife.ru/p/Bibarel.png;
Number: 399; Pokemon: kricketot; Give: 1Def; Photo https://pokemongolife.ru/p/Kricketot.png;
Number: 400; Pokemon: kricketune; Give: 2Atk; Photo https://pokemongolife.ru/p/Kricketune.png;
Number: 401; Pokemon: shinx; Give: 1Atk; Photo https://pokemongolife.ru/p/Shinx.png;
Number: 402; Pokemon: luxio; Give: 2Atk; Photo https://pokemongolife.ru/p/Luxio.png;
Number: 403; Pokemon: luxray; Give: 3Atk; Photo https://pokemongolife.ru/p/Luxray.png;
Number: 404; Pokemon: budew; Give: 1SpA; Photo https://pokemongolife.ru/p/Budew.png;
Number: 405; Pokemon: roserade; Give: 3SpA; Photo https://pokemongolife.ru/p/Roserade.png;
Number: 406; Pokemon: cranidos; Give: 1Atk; Photo https://pokemongolife.ru/p/Cranidos.png;
Number: 407; Pokemon: rampardos; Give: 2Atk; Photo https://pokemongolife.ru/p/Rampardos.png;
Number: 408; Pokemon: shieldon; Give: 1Def; Photo https://pokemongolife.ru/p/Shieldon.png;
Number: 409; Pokemon: bastiodon; Give: 2Def; Photo https://pokemongolife.ru/p/Bastiodon.png;
Number: 410; Pokemon: burmy; Give: 1SpD; Photo https://pokemongolife.ru/p/Burmy.png;
Number: 411; Pokemon: wormada; Give: 2SpD; Photo https://pokemongolife.ru/p/Wormada.png;
Number: 412; Pokemon: mothim; Give: 1Atk, 1SpA; Photo https://pokemongolife.ru/p/Mothim.png;
Number: 413; Pokemon: combee; Give: 1Spe; Photo https://pokemongolife.ru/p/Combee.png;
Number: 414; Pokemon: vespiqueen; Give: 1Def, 1SpD; Photo https://pokemongolife.ru/p/Vespiqueen.png;
Number: 415; Pokemon: pachirisu; Give: 1Spe; Photo https://pokemongolife.ru/p/Pachirisu.png;
Number: 416; Pokemon: buizel; Give: 1Spe; Photo https://pokemongolife.ru/p/Buizel.png;
Number: 417; Pokemon: floatzzel; Give: 2Spe; Photo https://pokemongolife.ru/p/Floatzel.png;
Number: 418; Pokemon: cherubi; Give: 1SpA; Photo https://pokemongolife.ru/p/Cherubi.png;
Number: 419; Pokemon: cherrim; Give: 2SpA; Photo https://pokemongolife.ru/p/Cherrim.png;
Number: 420; Pokemon: shellos; Give: 1HP; Photo https://pokemongolife.ru/p/Shellos.png;
Number: 421; Pokemon: gastrodon; Give: 2HP; Photo https://pokemongolife.ru/p/Gastrodon.png;
Number: 422; Pokemon: ambipom; Give: 2Spe; Photo https://pokemongolife.ru/p/Ambipom.png;
Number: 423; Pokemon: drifloon; Give: 1HP; Photo https://pokemongolife.ru/p/Drifloon.png;
Number: 424; Pokemon: drifblim; Give: 2HP; Photo https://pokemongolife.ru/p/Drifblim.png;
Number: 425; Pokemon: buneary; Give: 1Spe; Photo https://pokemongolife.ru/p/Buneary.png;
Number: 426; Pokemon: lopunny; Give: 2Spe; Photo https://pokemongolife.ru/p/Lopunny.png;
Number: 427; Pokemon: mismagius; Give: 1SpA, 1SpD; Photo https://pokemongolife.ru/p/Mismagius.png;
Number: 428; Pokemon: honchkrow; Give: 2Atk; Photo https://pokemongolife.ru/p/Honchkrow.png;
Number: 429; Pokemon: glameow; Give: 1Spe; Photo https://pokemongolife.ru/p/Glameow.png;
Number: 430; Pokemon: purugly; Give: 2Spe; Photo https://pokemongolife.ru/p/Purugly.png;
Number: 431; Pokemon: chingling; Give: 1SpA; Photo https://pokemongolife.ru/p/Chingling.png;
Number: 432; Pokemon: stunky; Give: 1Spe; Photo https://pokemongolife.ru/p/Stunky.png;
Number: 433; Pokemon: skuntank; Give: 2HP; Photo https://pokemongolife.ru/p/Skuntank.png;
Number: 434; Pokemon: bronzor; Give: 1Def; Photo https://pokemongolife.ru/p/Bronzor.png;
Number: 435; Pokemon: bonsly; Give: 1Def, 1SpD; Photo https://pokemongolife.ru/p/Bonsly.png;
Number: 436; Pokemon: mime jr.; Give: 1SpD; Photo https://pokemongolife.ru/p/Mime.png;
Number: 437; Pokemon: happiny; Give: 1HP; Photo https://pokemongolife.ru/p/Happiny.png;
Number: 438; Pokemon: chatot; Give: 1Atk; Photo https://pokemongolife.ru/p/Chatot.png;
Number: 439; Pokemon: spiritomb; Give: 1Def, 1SpD; Photo https://pokemongolife.ru/p/Spiritomb.png;
Number: 440; Pokemon: gible; Give: 1Atk; Photo https://pokemongolife.ru/p/Gible.png;
Number: 441; Pokemon: gabite; Give: 2Atk; Photo https://pokemongolife.ru/p/Gabite.png;
Number: 442; Pokemon: garchomp; Give: 3Atk; Photo https://pokemongolife.ru/p/Garchomp.png;
Number: 443; Pokemon: munchlax; Give: 1HP; Photo https://pokemongolife.ru/p/Munchlax.png;
Number: 444; Pokemon: riolu; Give: 1Atk; Photo https://pokemongolife.ru/p/Riolu.png;
Number: 445; Pokemon: lucario; Give: 1Atk, 1SpA; Photo https://pokemongolife.ru/p/Lucario.png;
Number: 446; Pokemon: hippopotas; Give: 1Def; Photo https://pokemongolife.ru/p/Hippopotas.png;
Number: 447; Pokemon: hippodon; Give: 2Def; Photo https://pokemongolife.ru/p/Hippodon.png;
Number: 448; Pokemon: skorupi; Give: 1Def; Photo https://pokemongolife.ru/p/Skorupi.png;
Number: 449; Pokemon: drapion; Give: 2Def; Photo https://pokemongolife.ru/p/Drapion.png;
Number: 450; Pokemon: croagunk; Give: 1Atk; Photo https://pokemongolife.ru/p/Croagunk.png;
Number: 451; Pokemon: toxicroak; Give: 2Atk; Photo https://pokemongolife.ru/p/Toxicroak.png;
Number: 452; Pokemon: carnivine; Give: 2Atk; Photo https://pokemongolife.ru/p/Cranivine.png;
Number: 453; Pokemon: finneon; Give: 1Spe; Photo https://pokemongolife.ru/p/Finneon.png;
Number: 454; Pokemon: lumineon; Give: 2Spe; Photo https://pokemongolife.ru/p/Lumineon.png;
Number: 455; Pokemon: mantyke; Give: 1SpD; Photo https://pokemongolife.ru/p/Mantyke.png;
Number: 456; Pokemon: snover; Give: 1Atk; Photo https://pokemongolife.ru/p/Snover.png;
Number: 457; Pokemon: abomasnow; Give: 1Atk, 1SpA; Photo https://pokemongolife.ru/p/Abomasnow.png;
Number: 458; Pokemon: weavile; Give: 1Atk, 1Spe; Photo https://pokemongolife.ru/p/Weavile.png;
Number: 459; Pokemon: magnezone; Give: 3SpA; Photo https://pokemongolife.ru/p/Magnezone.png;
Number: 460; Pokemon: licklicky; Give: 3HP; Photo https://pokemongolife.ru/p/Lickilicky.png;
Number: 461; Pokemon: rhyperior; Give: 3Atk; Photo https://pokemongolife.ru/p/Rhyperior.png;
Number: 462; Pokemon: tangrowth; Give: 2Def; Photo https://pokemongolife.ru/p/Tangrowth.png;
Number: 463; Pokemon: electivire; Give: 3Atk; Photo https://pokemongolife.ru/p/Electivire.png;
Number: 464; Pokemon: magmortar; Give: 3SpA; Photo https://pokemongolife.ru/p/Magmortar.png;
Number: 465; Pokemon: togekiss; Give: 2SpA, 1SpD; Photo https://pokemongolife.ru/p/Togekiss.png;
Number: 466; Pokemon: yanmega; Give: 2Atk; Photo https://pokemongolife.ru/p/Yanmega.png;
Number: 467; Pokemon: leafeon; Give: 2Def; Photo https://pokemongolife.ru/p/Leafeon.png;
Number: 468; Pokemon: glaceon; Give: 2SpA; Photo https://pokemongolife.ru/p/Glaceon.png;
Number: 469; Pokemon: gliscor; Give: 2Def; Photo https://pokemongolife.ru/p/Gliscor.png;
Number: 470; Pokemon: mamoswine; Give: 3Atk; Photo https://pokemongolife.ru/p/Mamoswine.png;
Number: 471; Pokemon: porygonz; Give: 3SpA; Photo https://pokemongolife.ru/p/Porygon-Z.png;
Number: 472; Pokemon: gallade; Give: 3Atk; Photo https://pokemongolife.ru/p/Gallade.png;
Number: 473; Pokemon: probopass; Give: 1Def, 2SpD; Photo https://pokemongolife.ru/p/Probopass.png;
Number: 474; Pokemon: dusknoir; Give: 1Def, 2SpD; Photo https://pokemongolife.ru/p/Dusknoir.png;
Number: 475; Pokemon: froslass; Give: 2Spe; Photo https://pokemongolife.ru/p/Froslass.png;
Number: 476; Pokemon: rotom; Give: 1SpA, 1Spe; Photo https://pokemongolife.ru/p/Rotom.png;
Number: 477; Pokemon: uxie; Give: 2Def, 1SpD; Photo https://pokemongolife.ru/p/Uxie.png;
Number: 478; Pokemon: mespirit; Give: 1Atk, 1SpA, 1SpD; Photo https://pokemongolife.ru/p/Mespirit.png;
Number: 479; Pokemon: azelf; Give: 2Atk, 1SpA; Photo https://pokemongolife.ru/p/Azelf.png;
Number: 480; Pokemon: dialga; Give: 3SpA; Photo https://pokemongolife.ru/p/Dialga.png;
Number: 481; Pokemon: palkia; Give: 3SpA; Photo https://pokemongolife.ru/p/Palkia.png;
Number: 482; Pokemon: heatran; Give: 3SpA; Photo https://pokemongolife.ru/p/Heatran.png;
Number: 483; Pokemon: regigigas; Give: 3Atk; Photo https://pokemongolife.ru/p/Regigigas.png;
Number: 484; Pokemon: giratina; Give: 3HP; Photo https://pokemongolife.ru/p/Giratina.png;
Number: 485; Pokemon: cresselia; Give: 3SpD; Photo https://pokemongolife.ru/p/Cresselia.png;
Number: 486; Pokemon: phione; Give: 1HP; Photo https://pokemongolife.ru/p/Phione.png;
Number: 487; Pokemon: manaphy; Give: 3HP; Photo https://pokemongolife.ru/p/Manaphy.png;
Number: 488; Pokemon: darkrai; Give: 2SpA, 1Spe; Photo https://pokemongolife.ru/p/Darkrai.png;
Number: 489; Pokemon: shaymin; Give: 3HP; Photo https://pokemongolife.ru/p/Shaymin.png;
Number: 490; Pokemon: arceus; Give: 3HP; Photo https://pokemongolife.ru/p/Arceus.png;
Number: 491; Pokemon: victini; Give: 3HP; Photo https://pokemongolife.ru/p/Victini.png;
Number: 492; Pokemon: snivy; Give: 1Spe; Photo https://pokemongolife.ru/p/Snivy.png;
Number: 493; Pokemon: servine; Give: 2Spe; Photo https://pokemongolife.ru/p/Servine.png;
Number: 494; Pokemon: serperior; Give: 3Spe; Photo https://pokemongolife.ru/p/Serperior.png;
Number: 495; Pokemon: tepig; Give: 1HP; Photo https://pokemongolife.ru/p/Tepig.png;
Number: 496; Pokemon: pignite; Give: 2Atk; Photo https://pokemongolife.ru/p/Pignite.png;
Number: 497; Pokemon: emboar; Give: 3Atk; Photo https://pokemongolife.ru/p/Emboar.png;
Number: 498; Pokemon: oshawott; Give: 1SpA; Photo https://pokemongolife.ru/p/Oshawott.png;
Number: 499; Pokemon: dewott; Give: 2SpA; Photo https://pokemongolife.ru/p/Dewott.png;
Number: 500; Pokemon: samurott; Give: 3SpA; Photo https://pokemongolife.ru/p/Samurott.png;
Number: 501; Pokemon: patrat; Give: 1Atk; Photo https://pokemongolife.ru/p/Patrat.png;
Number: 502; Pokemon: watchog; Give: 2Atk; Photo https://pokemongolife.ru/p/Watchog.png;
Number: 503; Pokemon: lillipup; Give: 1Atk; Photo https://pokemongolife.ru/p/Lillipup.png;
Number: 504; Pokemon: herdier; Give: 2Atk; Photo https://pokemongolife.ru/p/Herdier.png;
Number: 505; Pokemon: stoutland; Give: 3Atk; Photo https://pokemongolife.ru/p/Stoutland.png;
Number: 506; Pokemon: purrloin; Give: 1Spe; Photo https://pokemongolife.ru/p/Purrloin.png;
Number: 507; Pokemon: liepard; Give: 2Spe; Photo https://pokemongolife.ru/p/Liepard.png;
Number: 508; Pokemon: pansage; Give: 1Spe; Photo https://pokemongolife.ru/p/Pansage.png;
Number: 509; Pokemon: simisage; Give: 2Spe; Photo https://pokemongolife.ru/p/Simisage.png;
Number: 510; Pokemon: pansear; Give: 1Spe; Photo https://pokemongolife.ru/p/Pansear.png;
Number: 511; Pokemon: simisear; Give: 2Spe; Photo https://pokemongolife.ru/p/Simisear.png;
Number: 512; Pokemon: panpour; Give: 1Spe; Photo https://pokemongolife.ru/p/Panpour.png;
Number: 513; Pokemon: simipour; Give: 2Spe; Photo https://pokemongolife.ru/p/Simipour.png;
Number: 514; Pokemon: munna; Give: 1HP; Photo https://pokemongolife.ru/p/Munna.png;
Number: 515; Pokemon: musharna; Give: 2HP; Photo https://pokemongolife.ru/p/Musharna.png;
Number: 516; Pokemon: pidove; Give: 1Atk; Photo https://pokemongolife.ru/p/Pidove.png;
Number: 517; Pokemon: tranquill; Give: 2Atk; Photo https://pokemongolife.ru/p/Tranquill.png;
Number: 518; Pokemon: unfezant; Give: 3Atk; Photo https://pokemongolife.ru/p/Unfezant.png;
Number: 519; Pokemon: blitzle; Give: 1Spe; Photo https://pokemongolife.ru/p/Blitzle.png;
Number: 520; Pokemon: zebstrike; Give: 2Spe; Photo https://pokemongolife.ru/p/Zebstrike.png;
Number: 521; Pokemon: roggenrola; Give: 1Def; Photo https://pokemongolife.ru/p/Roggenrola.png;
Number: 522; Pokemon: boldore; Give: 1Atk, 1Def; Photo https://pokemongolife.ru/p/Boldore.png;
Number: 523; Pokemon: gigalith; Give: 3Atk; Photo https://pokemongolife.ru/p/Gigalith.png;
Number: 524; Pokemon: woobat; Give: 1Spe; Photo https://pokemongolife.ru/p/Woobat.png;
Number: 525; Pokemon: swoobat; Give: 2Spe; Photo https://pokemongolife.ru/p/Swoobat.png;
Number: 526; Pokemon: drilbur; Give: 1Atk; Photo https://pokemongolife.ru/p/Drillbur.png;
Number: 527; Pokemon: excadrill; Give: 2Atk; Photo https://pokemongolife.ru/p/Excadrill.png;
Number: 528; Pokemon: audino; Give: 2HP; Photo https://pokemongolife.ru/p/Audino.png;
Number: 529; Pokemon: timburr; Give: 1Atk; Photo https://pokemongolife.ru/p/Timburr.png;
Number: 530; Pokemon: gurdurr; Give: 2Atk; Photo https://pokemongolife.ru/p/Gurdurr.png;
Number: 531; Pokemon: conkeldurr; Give: 3Atk; Photo https://pokemongolife.ru/p/Conkeldurr.png;
Number: 532; Pokemon: tympole; Give: 1Spe; Photo https://pokemongolife.ru/p/Tympole.png;
Number: 533; Pokemon: palpitoad; Give: 2HP; Photo https://pokemongolife.ru/p/Palpitoad.png;
Number: 534; Pokemon: seismitoad; Give: 3HP; Photo https://pokemongolife.ru/p/Seismitoad.png;
Number: 535; Pokemon: throh; Give: 2HP; Photo https://pokemongolife.ru/p/Throh.png;
Number: 536; Pokemon: sawk; Give: 2Atk; Photo https://pokemongolife.ru/p/Sawk.png;
Number: 537; Pokemon: sewaddle; Give: 1Atk; Photo https://pokemongolife.ru/p/Sewaddle.png;
Number: 538; Pokemon: swadloon; Give: 2Atk; Photo https://pokemongolife.ru/p/Swadloon.png;
Number: 539; Pokemon: leavanny; Give: 3Atk; Photo https://pokemongolife.ru/p/Leavanny.png;
